page,0,,2,Energy (Energy),Water,Protein,Fat,"Carbohydrate, Carbohydrate available,Carbohydrate by difference",Dietary Fibre,Ash,Calcium,Phosphorus,Magnesium,Sodium,Potassium,Iron,Copper,Zinc,Iodine,Betacarotene,Retinol,Total Vitamin A (RAE),Thiamin,Riboflavin,Niacin,Vitamin C,Vitamin E,Sugar,,29,30,31,32
food_page_11,03012,"เต้าหู้ทอด, เต้าหู้พอง","Soybean curd, spongy, deep fried",(354),40.6,28.80,25.70,(1.90),(0.3),3.00,-,33,-,-,-,4.20,-,-,-,-,-,-,0.11,0.33,2.80,0,-,-,,,,,
food_page_11,03013,"เต้าหู้ยี้, กระป๋อง","Curd cake, fermented, canned",(141),56.8,8.60,4.20,(17.30),(0.2),13.10,-,15,-,-,-,1.70,-,-,-,0,-,0,0.02,0.00,1.60,-,-,-,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
food_page_12,03014,"เต้าหู้, แบ่งขาย","Curd cake, fermented",(143),59.2,11.20,6.30,(10.30),(0.6),13.00,,,,,,,,,,,,,0.07,0,1.20,0,,-,,,,,
food_page_12,03015,เต้าหู้เหลือง,"Soybean curd, yellow",(150),69.7,13.50,6.70,(8.80),(0.3),1.30,160,230,,,,2.80,,,,,,,0.03,0.18,0.80,,,-,,,,,
food_page_12,03016,"ถั่วขาว, ดิบ","Navy bean, white kidney beans, raw",(359),11.2,22.30,2.80,(61.10),(3.1),2.60,,,,,,6.80,,,,,,,0.32,0.42,2.70,,,-,,,,,
food_page_12,03017,"ถั่วเขียว, ดิบ","Mung bean, seeds, raw",297,11.5,23.40,1.30,35.60,24.7,3.50,125,340,,,,5.20,,,,,,,0.38,0.21,2.60 0,0,,-,,,,,
food_page_12,03018,"ถั่วเขียว, แป้ง","Mung bean, flour",(284),29.0,0.80,0.10,(70.00),(0.3),0.10,32,11,,,,1.00,,,,,,,0.01,0.01,0.10,,,-,,,,,
food_page_12,03019,"ถั่วดำ, คั่ว","Cowpea, seeds, roasted",(383),3.0,25.90,2.20,(65.00),(5.4),3.90,108,184,,,,11.60,,,,5,,0,0.02,0.63,2.1,,,-,,,,,
food_page_12,03020,"ถั่วดำ, ดิบ","Black gram, seeds, raw",318,9.9,24.20,1.70,42.40,18.2,3.65,39,356,,,,12.95,,,,,,,0.28,0.31,1.7,,,-,,,,,
food_page_12,03021,"ถั่วแดง, คั่ว","Rice bean, seeds, roasted",(385),4.9,22.70,2.20,(68.60),(4.6),1.60,43,151,,,,10.50,,,,16,,1,0.02,0.29,3,,,-,,,,,
food_page_12,03022,"ถั่วแดง, ดิบ","Rice bean, seeds, raw",295,14.2,22.40,1.20,39.19,18.8,4.20,,253,,,,,,,,,,,0.73,0.23,0.9,0,,-,,,,,
food_page_12,03023,"ถั่วแดงหลวง, ดิบ","Red kidney bean, seeds, raw",298,12.0,18.20,2.20,39.50,23.8,4.30,115,415,,,,,,,,0,,0,0 0.16,1.32,2.7,,,-,,,,,
food_page_12,03024,"ถั่วนางหอม, ทั้งเปลือก, ดิบ","Sweet pea, whole seeds, raw",(354),9.2,23.10,1.20,(62.70),(5.4),3.80,180,23,,,,4.40,,,,0,,0,0.37,1.24,4.7,5,,-,,,,,
food_page_12,03025,"ถั่วนางหอม, แยกเปลือก, ดิบ","Sweet pea, hulled, raw",(352),10.2,22.60,1.40,(62.20),(4.3),3.60,227,28,,,,4.50,,,,0,,0,0.31,0.56,3.9,0,,-,,,,,
food_page_12,03026,"ถั่วเน่า, เปียก","Soybean, fermented, fresh",(167),61.8,17.90,6.60,(9.10),(3.8),4.60,198,223,,,,6.10,,,,,,,0.04,0.45,1.6,0,,-,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
food_page_13,03027,"ถั่วเน่า, แห้ง",Soybean/fermented/dried,393,12.0,43.90,17.60,7.60,14.3,4.60,292,5,,,,21.00,,,,104,,9,0.06,0.73,1.6,0,,-,,,,,
food_page_13,03028,"ถั่วแปะยี้, คั่ว",Lablab bean/seeds/roasted,(370),6.4,29.20,2.90,(56.80),(0.9),4.70,,481,,,,,,,,9,,0,0.16,3.63,2.10,0,,-,,,,,
food_page_13,03029,"ถั่วแปะยี้, ดิบ",Lablab bean/seeds/raw,(350),10.3,31.10,0.80,(54.50),(1.3),3.30,33,398,,,,8.40,,,,tr,,tr,0.52,0.35,4.10,0,,-,,,,,
