page,0,,2,Energy (Energy),Water,Protein,Fat,"Carbohydrate, Carbohydrate available,Carbohydrate by difference",Dietary Fibre,Ash,Calcium,Phosphorus,Magnesium,Sodium,Potassium,Iron,Copper,Zinc,Iodine,Betacarotene,Retinol,Total Vitamin A (RAE),Thiamin,Riboflavin,Niacin,Vitamin C,Vitamin E,Sugar,,29,30,31,32
food_page_19,04037,"แค, ยอด","Sesbania, tender tips",98,74.4,8.30,2.60,7.70,5.1,1.90,395,40,-,-,-,4.10,-,-,-,-,-,-,0.28,0.33,2.00,84,-,-,,,,,
food_page_19,04038,แครอท,Carrot,(42),89.7,1.60,0.40,(7.90),(1.0),0.40,1,68,-,-,-,1.20,-,-,-,6994,-,583,0.04,0.05,0.80,3,-,-,,,,,
food_page_19,04039,"งิ้วแดง, ดอก, แห้ง","Red cotton tree, flowers, dried",(317),17.7,6.60,1.40,(69.40),(14.9),4.90,429,161,-,-,-,8.80,-,-,-,60,-,5,0.06,0.00,2.70,-,-,-,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
food_page_2,01014,"ข้าวเจ้า, 100%, ดิบ","Rice, polished, 100%, raw",(353),12.4,6.40,0.90,(79.90),(0.2),0.40,0,130,-,-,-,0.90,-,-,-,-,-,-,0.26,0.43,1.60,-,-,-,,,,,
food_page_2,01015,"ข้าวเจ้า, เคลือบ วิตามินบี, ดิบ","Rice, Vit. B coated, raw",353,12.5,6.50,1.10,78.80,0.8,0.30,10,56,-,-,-,tr,-,-,-,-,-,-,1.25,0.97,8.20,-,-,-,,,,,
food_page_2,01016,"ข้าวเจ้า, ซ้อมมือ, ดิบ","Rice, unpolished, raw",354,12.7,6.60,2.30,75.90,1.7,0.80,-,66,-,-,-,-,-,-,-,tr,-,tr,0.34,0.11,1.40,-,-,-,,,,,
food_page_2,01017,"ข้าวเจ้า, นึ่ง","Rice, polished, steamed",(141),65.4,2.80,0.50,(31.20),(0.1),0.10,0,11,-,-,-,0.50,-,-,-,-,-,-,0.01,0,1.50,-,-,-,,,,,
food_page_2,01018,"ข้าวเจ้า, ปลายข้าว, ดิบ","Rice, broken, raw",(357),11.8,6.00,1.40,(80.10),(0.2),0.70,55,90,-,-,-,1.80,-,-,-,-,-,-,0.13,0.10,0.60,-,-,-,,,,,
food_page_2,01019,"ข้าวเจ้า, ชุมแสง,ดิบ","Rice, polished, Chumsang variety,raw",354,12.3,6.90,1.10,78.90,0.4,0.40,-,95,-,-,-,-,-,-,-,-,-,-,0.09,0.04,-,-,-,-,,,,,
food_page_2,01020,"ข้าวเจ้า, ชัยนาท 1, ดิบ","Rice, polished, Chainat 1 variety, raw",358,11.2,7.02,1.15,79.47,0.7,0.51,3,33,-,3,37,-,-,-,4,-,-,0,0.07,0.03,2.21,-,tr,-,,,,,
food_page_2,01021,"ข้าวเจ้า, มันปู, ดิบ","Rice, polished, Munpu variety, raw",356,11.7,8.14,3.11,71.96,3.8,1.34,14,456,117,4,297,2.76,0.19,2.16,11,1,-,0,0.37,0.07,2.57,-,0.66,-,,,,,
food_page_2,01022,"ข้าวเจ้า, ไรซ์เบอรี่, ดิบ","Rice, polished, Riceberry variety, raw",360,11.8,8.94,4.64,68.59,4.2,1.78,16,208,158,2,379,1.49,0.26,2.42,4,7,-,1,0.48,0.13,4.08,-,0.41,-,,,,,
food_page_2,01023,"ข้าวเจ้า, สังข์หยด, ดิบ","Rice, polished,Sangyod variety, raw",359,12.2,9.03,4.25,69.29,3.8,1.50,11,-,133,7,303,1.18,0.36,2.26,6,2,-,0,0.18,0.08,-,-,0.09,-,,,,,
food_page_2,01024,"ข้าวเจ้า, เสาไห้, ดิบ","Rice, polished, Sauhai variety, raw",354,12.1,6.60,1.10,79.00,0.8,0.40,-,-,-,-,-,-,-,-,-,-,-,-,0.11,0.02,1.50,0,-,-,,,,,
food_page_2,01025,"ข้าวเจ้า,หอมนิล, ดิบ","Rice, polished, Homnil variety, raw",354,12.2,8.51,2.95,71.79,3.3,1.24,6,656,74,2,198,1.29,0.21,2.01,5,6,-,0,0.36,0.10,-,0,0.00,1.10,,,,,
food_page_2,01026,"ข้าวเจ้า, หอมมะลิ, ดิบ","Rice,polished, Jusmine variety, raw",355,12.0,6.20,1.10,79.80,0.6,0.30,3,66,-,-,-,tr,-,-,-,-,-,-,0.11,0.04,0.90,0,-,-,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
food_page_20,04040,"จวง, เทพธาโร",Juang,115,57.4,4.20,0.40,11.50,24.3,2.20,-,-,-,-,-,-,-,-,12,2054,-,171,0.01,-,1.20,10,7.41,-,,,,,
food_page_20,04041,จากง,,62,80.5,4.00,1.50,4.00,8.4,1.60,-,-,-,-,-,-,-,-,-,-,-,-,0.04,-,-,21,-,-,,,,,
food_page_20,04042,จำปานา,Champaca,(37),90.5,2.80,0.50,(5.30),(0.9),0.90,44,2,-,-,-,1.60,-,-,-,-,-,-,0.09,0.42,0.40,66,-,-,,,,,
food_page_20,04043,"จิกจิกน้ำ, จิกนา, ยอด","Indian oak, tender tips",(56),85.5,3.70,0.30,(9.60),(1.3),0.90,3,3,-,-,-,2.60,-,-,-,2718,-,227,0.17,0.32,2.80,39,-,-,,,,,
food_page_20,04044,"จิกนอนวัน, จิกหาวนอน, ยอด","Jik, tender tips",192,32.2,6.80,2.60,14.60,41.3,2.50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.40,-,-,-,,,,,
food_page_20,04045,"จุมปา, กุมปลา",,(44),89.3,2.70,1.10,(5.80),(1.0),1.10,79,53,-,-,-,1.20,-,-,-,4086,-,341,0.09,0.05,0.90,tr,-,-,,,,,
food_page_20,04046,"เจียงดา, เชียงดา, ใบ","Chiang-da, leaves",(70),82.9,5.40,1.50,(8.60),(2.5),1.60,78,98,-,-,-,2.30,-,-,-,5905,-,492,0.12,0.35,1.00,153,-,-,,,,,
food_page_20,04047,"ชะพลู, ใบ","Wildbetal leafbush, leaves",55,81.7,4.85,1.54,1.72,7.2,2.96,406,30,106,43,926,7.60,0.29,0.93,7,1709,-,142,0.02,0.28,2.24,22,1.52,-,,,,,
food_page_20,04048,"ชะอม, ยอด","Climbing wattle, tender tips",68,80.8,9.50,0.60,4.27,3.7,1.13,47,120,44,3,439,2.91,0.16,1.19,-,6042,-,504,0.05,0.24,1.15,58,-,-,,,,,
food_page_20,04049,"ดากเงาะ, ว่านกระทื่อดำ, ไพลม่วง","Phlai muang, rhizome",-,93.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,208,-,17,0.03,0.06,1.16,5,1.05,-,,,,,
food_page_20,04050,"เดือยดิน, มะเดื่อดิน, ยอดและใบอ่อน","Ma-deua-din, tender tips and leaves",95,65.5,2.70,1.10,8.90,19.4,2.40,282,-,-,-,-,-,-,-,20,2430,-,203,0.04,3.15,1.28,32,40.37,-,,,,,
food_page_20,04051,"โด่เด่, โด๊ะเด๊ะ, ยอดอ่อนและใบ","Do-de, tender tips and leaves",59,81.0,4.70,0.90,5.40,5.4,2.60,-,-,-,-,-,-,-,-,9,1479,-,123,-,-,0.54,-,11.30,-,,,,,
food_page_20,04052,"ต้นหอม, ดอก","Onion, flower",24,92.5,1.00,0.10,3.82,2.1,0.51,48,22,10,6,-,-,0.06,0.15,-,900,-,75,0.04,0.12,0.20,33,-,-,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
food_page_21,04053,"ต้นหอม, ใบ","Onion, leaves",30,90.9,1.54,0.36,3.99,2.5,0.74,87,33,20,39,313,0.51,0.07,0.30,2,227,-,19,0.02,0.10,1.40,29,0.40,,,,,,
food_page_21,04054,ต้นอ่อนทานตะวัน,Sunflower sprout,3,96.5,0.39,0.23,0.00,0.6,0.74,38,38,25,4,327,-,0.12,0.39,0,-,-,-,0.09,0.09,2.25,6,0.66,,,,,,
food_page_21,04055,"ตะลิงปลิง, ผล","Bilimbi, fruits",(11),96.9,0.30,0,(2.50),(0.3),0.30,1,6,-,-,-,0.20,-,-,-,162,-,14,0.03,0.09,0.70,2,-,,,,,,
food_page_21,04056,"รังใช่, ใบ",Crowdaisy leaves,15,94.3,2.10,0.30,0.07,1.9,1.33,135,38,17,51,-,tr,0.15,0.32,-,2722,-,227,0.06,0.32,0.70,10,-,,,,,,
food_page_21,04057,"ต้าปาต้าหางควง, ดอก",Snow flake,(60),83.7,3.1,0.60,(10.20),(2.6),2.20,222,65,-,-,-,tr,-,-,-,196,-,16,tr,0.14,2.30,2,-,,,,,,
food_page_21,04058,ตาลาปัตรชาฏี,Talapatreusi,(17),95.2,1.20,0.30,(2.40),(0.8),0.90,7,2,-,-,-,0.50,-,-,-,801,-,67,0.03,0.08,1.20,13,-,,,,,,
food_page_21,04059,"ต้าหัว, ใบ, ยอดอ่อน","Ivygourd, leaves, tender tips",(39),90.7,3.30,0.40,(5.50),(1.0),0.10,126,30,-,-,-,4.60,-,-,-,5190,-,433,0.17,0.13,1.20,34,-,,,,,,
food_page_21,04060,"เตี๊ยนกระท้อนป่า, ผล","Tein/wild santol, fruit",64,84.2,0.50,0.70,(13.90),-,0.70,-,-,-,-,-,-,-,-,-,0,-,0,0.15,0.27,2.43,36,0.32,,,,,,
food_page_21,04061,แตงกวา,Cucumber,13,96.1,0.80,0.10,1.90,0.7,0.40,5,11,-,-,-,0.40,-,-,-,40,-,3,0.03,0.05,tr,20,-,,,,,,
food_page_21,04062,แตงกวาญี่ปุ่น,Japannese cucumber,10,96.9,0.71,0.14,1.01,0.8,0.45,23,30,11,2,186,-,tr,0.13,0,138,-,12,0.01,0.03,1.72,9,0.07,,,,,,
food_page_21,04063,แตงไทยอ่อน,"Maskmelon, young",(13),96.5,0.40,0.10,(2.70),(0.5),0.30,tr,9,-,-,-,0.00,-,-,-,30,-,3,0.04,0.10,0.40,18,-,,,,,,
food_page_21,04064,แตงโมอ่อน,"Watermelon, young",(12),96.9,0.40,0.10,(2.40),(0.3),0.20,2,8,-,-,-,0.40,-,-,-,12,-,1,0.03,0.03,0.30,28,-,,,,,,
food_page_21,04065,แตงร้าน,Long cucumber,10,96.9,0.68,0.13,0.93,1.0,0.36,16,17,13,6,212,0.60,tr,0.15,1,93,-,5,0.01,0.04,0.84,27,0.04,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
food_page_22,04066,ถั่วแขก,Green beans,26,91.7,1.91,0.20,2.92,2.6,0.68,49,45,30,1,276,0.59,0.09,0.35,1,232,-,20,0.05,0.09,0.42,19,0.04,,,,,,
food_page_22,04067,ถั่วงอก,Mung bean sprout,(39),90.0,2.80,0.10,(6.60),(0.7),0.50,27,85,-,-,-,1.90,-,-,-,-,-,-,0.07,0.03,1.00,12,-,,,,,,
food_page_22,04068,"ถั่วงอก, หัวโต",Soy bean sprout,(79),83.5,9.1,3.4,(3.00),(6.7),1.00,45,31,-,-,-,1.50,-,-,-,47,-,4,0.20,0.13,1.30,17,-,,,,,,
food_page_22,04069,ถั่วปี,Asparagus peas,(39),90.0,2.00,0.30,(7.10),(1.3),0.60,-,3,-,-,-,0.60,-,-,-,338,-,28,0.08,0.42,1.30,36,-,,,,,,
food_page_22,04070,ถั่วฝักยาว,"Yard long bean, green",35,90.4,2.60,0.50,4.00,1.9,0.60,30,50,49,-,284,-,-,-,-,682,-,57,0.08,0.11,1.00,19,-,,,,,,
food_page_22,04071,"ถั่วฝักยาว, แดง","Yard long bean, red",(35),91.0,2.80,0.30,(5.30),(1.3),0.60,73,5,-,-,-,0.50,-,-,-,438,-,37,0.09,0.43,0.80,34,-,,,,,,
food_page_22,04072,ถั่วพู,Winged beans,21,93.1,2.28,0.24,0.94,2.9,0.56,65,43,30,6,307,0.56,0.67,1.36,5,197,-,16,0.26,0.13,1.01,13,0.12,,,,,,
food_page_22,04073,ถั่วไร่,Catjung,29,90.9,2.70,0.30,2.30,3.2,0.60,-,-,-,-,-,-,-,-,1,240,-,20,tr,0.12,0.73,13,0.56,,,,,,
food_page_22,04074,ถั่วลันเตา,Garden peas,(58),84.9,4.30,0.10,(9.90),(1.4),0.80,171,115,-,-,-,1.50,-,-,-,402,-,34,0.11,0.09,1.40,34,-,,,,,,
food_page_22,04075,"เถาคัน/ส้มเขาดิน, ผล","Treebine, fruit",(27),93.4,0.40,0.40,(5.50),-,0.30,-,-,-,-,-,-,-,-,3,236,-,20,0.02,0.09,1.62,8,2.64,,,,,,
food_page_22,04076,"ทองหลาง, ใบ","Coral, leaves",(72),81.5,4.60,0.80,(11.70),(4.1),1.40,57,40,-,-,-,1.80,-,-,-,2304,-,192,0.24,0.17,1.20,68,-,,,,,,
food_page_22,04077,"เทียม, ยอด","Mega neem, tender tips",-,79.3,-,-,-,-,-,-,-,-,-,-,-,-,-,12,5287,-,441,0.16,0.52,0.52,82,13.43,,,,,,
food_page_22,04078,นมสวรรค์,Pagoda plant,-,83.2,4.70,-,-,-,1.60,-,-,-,-,-,-,-,-,7,4796,-,400,0.05,0.47,1.45,52,5.60,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
food_page_23,04079,"น้ำเต้า, เนื้อ","Bottle gourd, outer portion",(12),96.8,0.30,0,(2.60),(0.4),0.30,6,1,-,-,-,0.10,-,-,-,234,-,20,0.02,0.04,0.10,10,-,,,,,,
food_page_23,04080,"น้ำเต้า, ผล","Bottle gourd, fruit",(17),95.6,0.60,0.10,(3.40),(0.3),0.30,4,53,-,-,-,0.50,-,-,-,48,-,4,0.06,0.03,0.40,8,-,,,,,,
food_page_23,04081,"น้ำเต้า, ไส้","Bottle gourd, inner portion",(10),97.4,0.40,0.10,(1.80),(0.2),0.30,4,1,-,-,-,0.20,-,-,-,48,-,4,0.04,0.03,0.50,16,-,,,,,,
food_page_23,04082,บร็อคโคลี่,Broccoli,33,90.1,3.64,0.50,1.98,2.9,0.90,24,61,20,12,310,1.20,0.13,0.52,1,1752,-,146,0.07,0.18,2.80,111,-,,,,,,
food_page_23,04083,บวบงู,Snake gourd,19,94.4,1.33,0.16,2.06,1.7,0.36,24,21,25,3,160,0.70,0.16,0.26,1,49,-,4,0.03,0.06,1.91,14,-,,,,,,
food_page_23,04084,บวบหอม,Sponge gourd,17,94.9,1.01,0.18,2.10,1.4,0.41,17,32,18,1,189,0.40,0.05,0.20,1,52,-,5,0.02,0.06,1.56,8,-,,,,,,
food_page_23,04085,บวบเหลี่ยม,Angled gourd,(18),95.4,0.70,0.20,(3.30),(0.3),0.40,5,24,-,-,-,0.70,-,-,-,30,-,3,0.02,0.04,0.40,15,-,,,,,,
food_page_23,04086,บอนส้ม,-,(18),95.0,0.60,0.30,(3.30),-,0.80,-,-,-,-,-,-,-,-,5,618,-,52,0.02,tr,0.28,3,5.20,,,,,,
food_page_23,04087,"บัวบก, ใบ","Indian pennywort, leaves",38,88.4,1.80,0.90,4.02,3.4,1.53,117,30,-,-,-,2.29,-,-,-,2428,-,202,0.24,0.09,0.80,15,-,,,,,,
food_page_23,04088,"บุกเกียง, ยอดอ่อน","Stanley's water-tub, tenders tips",(21),94.4,0.20,0.20,(4.70),-,0.50,21,-,-,-,-,-,-,-,7,92,-,8,tr,0.01,0.24,8,0.60,,,,,,
food_page_23,04089,"บุงงูเหลือม, ยอดอ่อน","Stanley's water-tub, tenders tips",15,95.5,0.40,0.20,2.50,0.9,0.50,-,-,-,-,-,-,-,-,4,118,-,10,tr,tr,0.33,7,0.90,,,,,,
food_page_23,04090,ใบเนย,"Pandanus, leaves",(55),85.3,1.90,0.80,(10.10),(5.2),1.90,124,27,-,-,-,0.10,-,-,-,2987,-,249,tr,0.20,1.20,8,-,,,,,,
food_page_23,04091,"ใบเตย, น้ำค้ัน","Pandanus, leaves, juice",4,98.5,0.40,0.20,0.20,0.0,0.70,73,10,-,-,-,-,-,-,-,533,-,44,tr,0.18,1.20,-,-,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
food_page_24,04092,ใบปอ,Jute,(77),80.4,6.90,1.20,(9.70),(1.5),1.80,-,-,-,-,-,-,-,-,-,-,-,-,0.07,0.34,1.60,164,-,,,,,,
food_page_24,04093,"ใบสะทอน, น้ำค้ัน","Sa-ton, leaves, juice",133,66.2,22.50,0.10,10.60,0.0,0.60,2,11,-,-,-,0.60,-,-,-,0,-,0,0.26,-,6.00,106,-,,,,,,
food_page_24,04094,ปรงทะเล,Queen sago,47,83.2,3.90,0.60,2.30,8.4,1.60,-,-,-,-,-,-,-,-,-,-,-,-,tr,1.04,-,42,-,,,,,,
food_page_24,04095,ปวยเล็ง,Spinach,(25),93.1,2.60,0.90,(1.60),(0.7),1.80,54,60,-,-,-,0.10,-,-,-,2520,-,210,0.05,0.48,0.40,15,-,,,,,,
food_page_24,04096,"เปราะ, ใบ","Sand ginger, leaves",(18),95.0,1.30,0.20,(2.70),(1.0),0.80,6,16,-,-,-,2.50,-,-,-,-,-,-,0.03,0.17,0.30,26,-,,,,,,
food_page_24,04097,ผักกะเฉด,Water mimosa,37,89.4,6.40,0.40,0.00,3.8,1.20,62,58,-,-,-,4.40,-,-,-,3710,-,309,0.12,0.14,3.20,34,-,,,,,,
food_page_24,04098,ผักกะสัง,"Peperomia, shiny",(13),96.4,0.60,0.20,(2.10),(0.6),0.70,63,tr,-,-,-,0.60,-,-,-,-,-,-,tr,0.24,0.70,15,-,,,,,,
food_page_24,04099,ผักกาดขาว,Chinese white cabbage,(11),96.6,1.50,0.10,(1.10),(0.5),0.70,7,20,-,-,-,0.40,-,-,2,11,-,1,0.07,0.24,1.20,52,-,,,,,,
food_page_24,04100,ผักกาดเขียว,Mustard greens,(22),93.8,2.15,0.25,(2.70),(0.7),1.10,143,51,-,-,-,2.25,-,-,-,1469,-,122,0.03,0.12,0.95,87,-,,,,,,
food_page_24,04101,ผักกาดนกเขา,Pak-kad-nok-kao,(24),93.5,1.80,0.30,(3.40),(0.9),1.00,73,43,-,-,-,tr,-,-,-,2557,-,213,0.01,0.56,1.20,5,-,,,,,,
food_page_24,04102,ผักกาดหอม,Lettuce,(27),92.7,2.00,0.40,(3.80),(0.8),1.10,16,39,-,-,-,4.90,-,-,-,2356,-,196,0.06,0.18,0.60,24,1.82,,,,,,
food_page_24,04103,ผักกาดหางหงส์,Chinese cabbage-michilli,12,95.8,1.22,0.12,0.85,1.4,0.66,18,36,11,5,258,0.23,tr,0.26,tr,68,-,6,0.03,0.06,1.07,23,0.00,,,,,,
food_page_24,04104,ผักกีบม้า,Giant fern,15,95.1,1.60,0.40,0.50,1.6,0.80,-,-,-,-,-,-,-,-,-,1658,-,138,0.04,0.14,8.80,3,-,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
food_page_25,04105,"ผักกุ่ม, ดอง","Crataeva, pickled",(108),73.4,3.40,1.30,(20.60),(4.9),1.30,124,20,-,-,-,5.30,-,-,-,3648,-,304,0.08,0.25,1.50,5,-,,,,,,
food_page_25,04106,ผักกูด,Paco/Oak fern,(25),93.7,1.70,0.40,(3.60),(1.4),0.60,5,35,-,-,-,36.30,-,-,3,681,-,57,0.34,0.08,0.50,15,2.05,,,,,,
food_page_25,04107,ผักขาเขียด/ผักลิ้ม/ผักขี้ใต้,Piekerel weed,11,95.5,1.20,0.00,0.34,2.0,0.86,22,17,-,-,-,1.05,-,-,40,1541,-,128,0.02,0.18,1.60,13,-,,,,,,
food_page_25,04108,ผักขี้ขวง,Pak-kee-kweung,(34),90.3,3.20,0.40,(4.40),(1.1),1.70,94,4,-,-,-,1.80,-,-,-,2431,-,203,0.03,0.45,2.70,19,0.00,,,,,,
food_page_25,04109,ผักขี้้หูด,Pak-kee-hood,(15),96.6,3.60,0.10,(0.00),(0.6),0.40,44,35,-,-,-,1.80,-,-,-,462,-,39,0.11,0.05,1.10,125,-,,,,,,
food_page_25,04110,ผักโขม/ผักโหม/ผักหม,Chineses spinach,(17),95.1,1.83,0.29,(1.70),-,1.05,27,33,47,32,72,1.22,0.07,0.25,-,1212,-,101,0.01,0.18,0.69,19,-,,,,,,
food_page_25,04111,ผักคะน้า,Chinese kale,(31),92.1,2.70,0.50,(3.80),(1.6),0.90,245,80,-,-,-,1.20,-,-,-,2512,-,209,0.05,0.08,1.00,147,-,,,,,,
food_page_25,04112,ผักชี,Coriander,24,91.6,2.68,0.63,0.38,3.0,1.70,108,56,32,38,568,1.87,0.14,0.47,5,876,-,73,0.05,0.22,1.76,46,1.12,,,,,,
food_page_25,04113,ผักชีฝรั่ง,Culantro/ long coriander,27,90.9,2.05,0.55,1.83,3.4,1.24,74,37,22,61,432,2.63,0.19,0.45,8,2339,-,143,0.12,0.18,0.75,20,1.12,,,,,,
food_page_25,04114,ผักซีล้อม,Water dropwort,22,92.9,1.70,0.30,1.70,2.6,0.80,87,-,-,-,-,-,-,-,7,2498,-,208,0.01,0.20,2.87,20,6.60,,,,,,
food_page_25,04115,ผักชีลาว,Dill,32,89.3,3.44,0.80,0.94,3.6,1.94,137,200,43,179,686,2.73,0.17,0.46,10,5645,-,470,0.07,0.24,0.70,43,1.12,,,,,,
food_page_25,04116,"ผักติ้ว, ดอก","Pak-tew, flower",43,86.3,2.34,0.84,3.34,6.5,0.74,19,49,19,2,290,-,0.21,0.53,-,980,-,82,0.05,0.45,1.35,23,-,,,,,,
food_page_25,04117,"ผักติ้ว, ใบ","Pak-tew, leaves",70,79.9,3.41,1.55,6.95,7.3,0.95,47,69,26,2,365,-,0.24,0.75,-,1273,-,106,0.09,0.74,2.12,9,-,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
food_page_26,04118,ผักเตา/ผักเทา/สาหร่ายน้ำจืด,Fresh-water algae,16,94.9,1.20,0.10,1.77,1.4,0.67,84,22,6,145,23,4.70,0.00,0.00,9,3032,-,253,0.03,0.07,0.40,8,-,,,,,,
food_page_26,04119,ผักบ่อ,-,(15),94.9,1.30,0.10,(2.30),(0.7),1.40,5,16,-,-,-,5.20,-,-,-,-,-,-,0.05,0.32,1.00,-,-,,,,,,
food_page_26,04120,ผักบุ้งจีน,Water convolvulus,16,94.27,1.72,0.34,0.27,2.3,1.13,60,26,17,130,270,1.94,0.06,0.35,4,1591,-,133,0.02,0.17,0.55,14,1.16,,,,,,
food_page_26,04121,"ผักบุ้งไทย, ต้นขาว","Water spinach, white",22,92.8,2.18,0.32,1.34,2.4,0.92,26,33,20,67,359,3.00,0.02,0.28,6,1151,-,96,0.05,0.23,0.90,11,-,,,,,,
food_page_26,04122,"ผักบุ้งไทย, ต้นแดง","Water spinach, red",16,93.8,1.68,0.29,0.28,3,1.00,13,30,21,26,439,2.60,-,0.25,6,485,-,40,0.07,0.14,1.30,12,-,,,,,,
food_page_26,04123,ผักปลัง/ผักปั๋ง,Malabar spinach,(24),93.4,2.00,0.20,(3.50),(0.8),0.90,4,50,-,-,-,1.50,-,-,-,5992,-,466,0.07,0.20,1.10,26,-,,,,,,
food_page_26,04124,ผักผำ/ไข่น้ำ,Swamp algae,(9),97.1,0.60,0.10,(1.50),(0.3),0.70,59,25,-,-,-,6.60,-,-,11,3210,-,268,0.03,0.09,0.40,11,-,,,,,,
food_page_26,04125,ผักไผ่/ผักแพว,Ceylon spinach (Malabar spinach),39,86.4,3.50,0.65,0.00,9.7,1.69,482,150,-,-,-,3.46,-,-,-,3579,-,298,0.04,0.47,1.75,86,-,,,,,,
food_page_26,04126,ผักแฟบ,Pak-fab,-,88.8,1.60,-,-,-,0.40,-,-,-,-,-,-,-,-,3,507,-,42,0.03,0.41,1.62,13,0.28,,,,,,
food_page_26,04127,ผักเม็ก,Pak-meg,(84),79.1,3.00,1.00,(15.8),(3.2),1.10,10,27,-,-,-,11.60,-,-,-,1415,-,118,0.03,0.06,1.70,16,-,,,,,,
food_page_26,04128,ผักแมะ,Pak-mae,48,85.2,5.70,0.60,3.00,3.8,1.70,112,-,-,-,-,-,-,-,18,9102,-,759,0.04,0.30,0.75,37,-,,,,,,
food_page_26,04129,ผักแว่น,Water fern,(44),89.3,2.30,0.90,(6.70),(3.0),0.80,48,tr,-,-,-,2.50,-,-,-,-,-,-,0.08,0.28,20.0,3,-,,,,,,
food_page_26,04130,"ผักเสี้ยว (ชงโค), ยอด","Thomas's tree, tender tips",(60),84.5,6.30,0.80,(7.00),(1.9),1.40,152,107,-,-,-,2.30,-,-,-,1218,-,102,0.09,0.07,1.90,3,-,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
food_page_27,04131,"ผักแส้ว, ยอด","Scented star jasmine, tender tips",(52),86.6,4.60,0.90,(6.40),(1.4),1.50,142,66,-,-,-,1.30,-,-,-,4366,-,364,-,0.00,1.10,13,-,,,,,,
food_page_27,04132,ผักหนาม,Lasia,(21),94.1,2.10,0.20,(2.80),(0.8),0.80,14,11,-,-,-,0.90,-,-,-,-,-,-,0.92,0.04,0.90,23,-,,,,,,
food_page_27,04133,"ผักหวาน, บ้าน",Pak-waan-baan,36,88.4,5.60,0.50,0.60,3.5,1.45,34,68,124,-,-,1.30,-,-,10,4812,-,401,0.08,0.84,2.20,66,5.77,,,,,,
food_page_27,04134,"ผักหวาน, ป่า",Pak-waan-pa,55,83.2,6.99,1.06,1.63,5.5,1.64,136,-,53,4,584,-,0.33,1.03,3,1672,-,139,0.04,0.36,2.17,66,3.24,,,,,,
food_page_27,04135,"ผักฮ้วน/ฮ้วนหมู, ดอก","Pak-hawn, flowers",(50),87.0,2.80,0.60,(8.30),(1.6),1.30,113,59,-,-,-,0.90,-,-,-,352,-,29,0.08,0.61,1.00,472,-,,,,,,
food_page_27,04136,"ผักฮ้วน/ฮ้วนหมู, ยอด","Pak-hawn, tender tips",(68),82.8,5.20,1.10,(9.20),(2.3),1.70,104,90,-,-,-,1.80,-,-,-,1595,-,133,0.14,0.24,1.00,351,-,,,,,,
food_page_27,04137,"ผักฮี้/ผักเฮียด, ยอด","Pak-hi, tender tips",(53),86.4,3.40,0.50,(8.60),(1.4),1.10,53,80,-,-,-,1.70,-,-,-,917,-,76,0.07,0,0.9,3,-,,,,,,
food_page_27,04138,พริกขี้หนู,Chili pepper,63,81.2,3.41,2.11,2.92,9.3,1.03,28,54,34,4,461,1.20,0.13,0.29,-,1452,-,121,0.39,0.12,1.50,49,-,,,,,,
food_page_27,04139,"พริกขี้หนู, ยอด","Chili pepper, tender tips",(50),86.6,4.50,0.70,(6.50),(1.3),1.70,25,22,-,-,-,-,-,-,-,-,-,-,-,-,-,90,-,,,,,,
food_page_27,04140,"พริกจินดา/พริกซุปเปอร์ฮอท, เขียว","Chili pepper, green, hot",44,86.5,2.37,1.21,2.82,6.3,0.86,20,57,27,5,357,-,0.19,0.27,1,-,-,-,0.14,0.08,3.76,79,-,,,,,,
food_page_27,04141,"พริกจินดา/พริกซุปเปอร์ฮอท, แดง","Chili pepper, red, hot",79,76.1,3.94,2.48,3.98,12.5,1.00,16,84,34,6,488,-,0.20,0.33,1,-,-,-,0.14,0.32,2.56,112,-,,,,,,
food_page_27,04142,"พริกชี้ฟ้า, แดง","Pepper, red, long",(64),85.1,3.65,1.50,(8.54),(3.1),1.25,14,20,-,-,-,1.30,-,-,-,-,-,-,0.16,0.24,3.50,106,-,,,,,,
food_page_27,04143,"พริกชี้ฟ้า, เขียว","Pepper, green, long",(53),85.2,1.50,0.50,(10.60),(2.2),2.2,-,27,-,-,-,0.50,-,-,-,1152,-,96,0.07,0.01,0.10,204,-,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
food_page_28,04144,"พริกไทย, อ่อน, เมล็ด","Pepper, young fruit",(118),72,4.40,2.60,(19.30),(6.1),1.70,152,23,-,-,-,3.10,-,-,-,-,-,-,0.02,0.12,2.60,14,-,,,,,,
